High-yielding,Not high-yielding,sentences
0,1,"5-fluoro-2-methoxy-4-(2-piperidin-1-ylethyl)aniline and 5-[3-(2-chloropyrimidin-4-yl)imidazo[1,2-a]pyridin-2-yl]-N-(2,6-difluorophenyl)-2-methoxybenzamide react together in the presence of propan-2-ol, 4-methylbenzenesulfonic acid, dichloromethane to produce N-(2,6-difluorophenyl)-5-[3-[2-[5-fluoro-2-methoxy-4-(2-piperidin-1-ylethyl)anilino]pyrimidin-4-yl]imidazo[1,2-a]pyridin-2-yl]-2-methoxybenzamide."
0,1,"bromomethylbenzene and 5-propoxypyrrolidin-2-one react together in the presence of oxolane, potassium(1+), hydroxide to produce 1-benzyl-5-propoxypyrrolidin-2-one."
0,1,"ethyl 2-(1,4-dihydroxy-6-pyrazin-2-yloxy-3H-2,1-benzoxaborol-3-yl)acetate reacts in the presence of ethanol, chlorane, oxidane, lithium(1+), hydroxide to produce 2-(1,4-dihydroxy-6-pyrazin-2-yloxy-3H-2,1-benzoxaborol-3-yl)acetic acid."
1,0,"tert-butyl 4-aminopiperidine-1-carboxylate and 5-chloro-6-methylpyridine-3-carbaldehyde react together in the presence of triacetyloxyboranuide, 1,2-dichloroethane, hydrogen carbonate, sulfate, sodium(1+) to produce tert-butyl 4-[(5-chloro-6-methylpyridin-3-yl)methylamino]piperidine-1-carboxylate."
1,0,"methanesulfonyl chloride and 6-bromopyridin-2-amine react together in the presence of dichloromethane, pyridine to produce N-(6-bromopyridin-2-yl)methanesulfonamide."
0,1,"tert-butyl 4-(3-ethoxy-2,2-difluoro-1-hydroxy-3-oxopropyl)piperidine-1-carboxylate reacts in the presence of 2-(2-cyanopropan-2-yldiazenyl)-2-methylpropanenitrile, N,N-dimethylpyridin-4-amine, methyl 2-chloro-2-oxoacetate, bis(trimethylsilyl)silyl-trimethylsilane, toluene, dichloromethane to produce tert-butyl 4-(3-ethoxy-2,2-difluoro-3-oxopropyl)piperidine-1-carboxylate."
1,0,"9-bromo-2-(methoxymethyl)-6H-[1,2,4]triazolo[1,5-c]quinazolin-5-one reacts in the presence of 9-chloro-2-cyclopropyl-6H-[1,2,4]triazolo[1,5-c]quinazolin-5-one to produce 4-bromo-2-[5-(methoxymethyl)-1H-1,2,4-triazol-3-yl]aniline."
0,1,"pyrrolidine and 7-(cyclopentylamino)-3-[2-(cyclopentylamino)pyrimidin-4-yl]-2-(4-fluorophenyl)pyrazolo[1,5-a]pyridine-6-carboxylic acid react together in the presence of chlorane, dichloromethane, thionyl dichloride to produce [7-(cyclopentylamino)-3-[2-(cyclopentylamino)pyrimidin-4-yl]-2-(4-fluorophenyl)pyrazolo[1,5-a]pyridin-6-yl]-pyrrolidin-1-ylmethanone."
0,1,"1-(2-chloroethyl)pyrrolidine and 5-iodo-1H-indazole react together in the presence of methylsulfinylmethane, chlorane, oxidane, carbonate, cesium(1+) to produce 5-iodo-1-(2-pyrrolidin-1-ylethyl)indazole."
1,0,"2-bromo-1-ethyl-3-nitrobenzene reacts in the presence of ethanol, chlorane to produce 2-bromo-3-ethylaniline."
1,0,"tert-butyl 2-(3-nitropyrazol-1-yl)propanoate reacts in the presence of methanol, molecular hydrogen, palladium to produce tert-butyl 2-(3-aminopyrazol-1-yl)propanoate."
1,0,"methyl 7-methoxy-4-(2,3,4-trimethoxy-6-methoxycarbonylphenyl)-1,3-benzodioxole-5-carboxylate reacts in the presence of 1,4-dioxane, chlorane, potassium(1+), hydroxide to produce 4-(6-carboxy-2,3,4-trimethoxyphenyl)-7-methoxy-1,3-benzodioxole-5-carboxylic acid."
0,1,"3-[1-[[3,5-bis(trifluoromethyl)phenyl]methyl]-5-pyridin-4-yltriazol-4-yl]-4-(2-chlorophenyl)-[1,2]oxazolo[3,4-d]pyridazine reacts in the presence of acetonitrile, oxidane, carbon monoxide, molybdenum to produce [5-amino-3-(2-chlorophenyl)pyridazin-4-yl]-[1-[[3,5-bis(trifluoromethyl)phenyl]methyl]-5-pyridin-4-yltriazol-4-yl]methanone."
0,1,"2-chloro-N,N-dimethylacetamide and methyl 4-hydroxybenzoate react together in the presence of N,N-dimethylformamide, carbonate, potassium(1+) to produce methyl 4-[2-(dimethylamino)-2-oxoethoxy]benzoate."
1,0,"hydroxylamine and thieno[2,3-b]pyrrolizin-8-one react together in the presence of chlorane, pyridine to produce N-thieno[2,3-b]pyrrolizin-8-ylidenehydroxylamine."
0,1,"3-chloro-4-(trifluoromethyl)aniline and carbonyl dichloride react together in the presence of acetonitrile, N-ethyl-N-propan-2-ylpropan-2-amine, methanesulfonate, pyridine to produce 1-[3-chloro-4-(trifluoromethyl)phenyl]-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea."
0,1,"4,4,5,5-tetramethyl-2-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1,3,2-dioxaborolane and methyl 3-iodonaphthalene-2-carboxylate react together in the presence of acetate, methylsulfinylmethane, dichloropalladium, iron(2+), potassium(1+), 2,4-Cyclopentadien-1-yldiphenylphosphine to produce methyl 3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)naphthalene-2-carboxylate."
0,1,acetyl acetate and 5-methyl-1H-imidazole react together to produce 1-(4-methylimidazol-1-yl)ethanone.
0,1,"2-bromo-1-(6-methoxynaphthalen-2-yl)propan-1-one and 1-benzylpiperazine react together in the presence of hydroxylamine, boranuide, sodium(1+) to produce 2-(4-benzylpiperazin-1-yl)-1-(6-methoxynaphthalen-2-yl)propan-1-one."
0,1,"tert-butyl N-[(2-bromo-6-nitrophenyl)methyl]-N-methylcarbamate reacts in the presence of oxolane, methanol, hydrazine to produce tert-butyl N-[(2-amino-6-bromophenyl)methyl]-N-methylcarbamate."
0,1,"2,6-dichloro-N'-hydroxybenzenecarboximidamide and 1-(3,4-dihydro-2H-quinoline-1-carbonyl)piperidine-4-carboxylic acid react together in the presence of N-ethyl-N-propan-2-ylpropan-2-amine, [benzotriazol-1-yloxy(dimethylamino)methylidene]-dimethylazanium, N,N-dimethylformamide, tetrafluoroborate, oxidane, 1-hydroxybenzotriazole to produce [4-[3-(2,6-dichlorophenyl)-1,2,4-oxadiazol-5-yl]piperidin-1-yl]-(3,4-dihydro-2H-quinolin-1-yl)methanone."
1,0,"6-chloro-N-(2-cyclopropylethyl)pyridazine-3-carboxamide and (4-fluorophenyl)-piperidin-4-ylmethanone react together in the presence of acetonitrile, N,N-diethylethanamine to produce N-(2-cyclopropylethyl)-6-[4-(4-fluorobenzoyl)piperidin-1-yl]pyridazine-3-carboxamide."
0,1,"2-chloro-1-(4-ethylpiperazin-1-yl)ethanone and [6-[2-[[4-(4-hydroxyphenyl)-4-oxobutyl]amino]-4-methoxyphenyl]-5,6,7,8-tetrahydronaphthalen-2-yl] 2,2-dimethylpropanoate react together to produce 6-[2-[4-[4-[2-(4-ethylpiperazin-1-yl)ethoxy]phenyl]butylamino]-4-methoxyphenyl]-5,6,7,8-tetrahydronaphthalen-2-ol."
1,0,"hex-5-ynyl acetate and 5-bromo-16-[2,6-di(propan-2-yl)phenyl]-16-azahexacyclo[12.6.2.12,6.011,21.018,22.010,23]tricosa-1(20),2,4,6,8,10(23),11(21),12,14(22),18-decaene-15,17-dione react together in the presence of piperidine, oxolane, chlorane, iodocopper, palladium;triphenylphosphanium to produce 6-[16-[2,6-di(propan-2-yl)phenyl]-15,17-dioxo-16-azahexacyclo[12.6.2.12,6.011,21.018,22.010,23]tricosa-1(20),2(23),3,5,7,9,11(21),12,14(22),18-decaen-5-yl]hex-5-ynyl acetate."
0,1,"methylimino(oxo)methane and 3-(2-amino-1,3-thiazol-4-ylidene)-N-(4-chlorophenyl)propanamide react together in the presence of bromane, oxidane, pyridine to produce N-(4-chlorophenyl)-3-[2-(methylcarbamoylamino)-1,3-thiazol-4-ylidene]propanamide."
0,1,"tert-butyl 3-(3,5-dichlorophenyl)-3-hydroxypyrrolidine-1-carboxylate and N-ethyl-N-(trifluoro-lambda4-sulfanyl)ethanamine react together in the presence of dichloromethane, carbonate, sodium(1+) to produce tert-butyl 3-(3,5-dichlorophenyl)-3-fluoropyrrolidine-1-carboxylate."
1,0,"hexane and N,N-dimethylformamide react together in the presence of bromomethylbenzene, oxidane, hydride, sodium(1+) to produce 1-benzyl-4-methoxy-2-methylindole."
1,0,"N-[[(4R)-2,2,4-trimethyl-1,3-dioxolan-4-yl]methylidene]hydroxylamine and 1-chloropyrrolidine-2,5-dione react together in the presence of N,N-dimethylformamide, oxidane to produce (4S)-N-hydroxy-2,2,4-trimethyl-1,3-dioxolane-4-carboximidoyl chloride."
0,1,"tert-butyl 4-[2-(6-nitrospiro[3H-imidazo[2,1-b][1,3]oxazole-2,4'-piperidine]-1'-yl)-2-oxoethyl]piperazine-1-carboxylate and 4-(trifluoromethyl)aniline react together in the presence of N,N-dimethylformamide, dichloromethane, oxidane, 2,2,2-trifluoroacetic acid, di(imidazol-1-yl)methanone to produce 4-[2-(6-nitrospiro[3H-imidazo[2,1-b][1,3]oxazole-2,4'-piperidine]-1'-yl)-2-oxoethyl]-N-[4-(trifluoromethyl)phenyl]piperazine-1-carboxamide."
0,1,"[benzotriazol-1-yloxy(dimethylamino)methylidene]-dimethylazanium and 2-(6-chloro-1-methylindazol-3-yl)-5-(2-trimethylsilylethoxymethyl)pyrrolo[2,3-b]pyrazine-7-carboxylic acid react together in the presence of acetonitrile, propan-2-amine, N-ethyl-N-propan-2-ylpropan-2-amine, ethyl acetate, tetrafluoroborate, oxidane to produce 2-(6-chloro-1-methylindazol-3-yl)-N-propan-2-yl-5-(2-trimethylsilylethoxymethyl)pyrrolo[2,3-b]pyrazine-7-carboxamide."
0,1,"2-[3-[tert-butyl(dimethyl)silyl]oxyphenyl]acetic acid and ethyl 2-amino-4-methyl-1,3-thiazole-5-carboxylate react together in the presence of oxolane, 2,4,6-tripropyl-1,3,5,2lambda5,4lambda5,6lambda5-trioxatriphosphinane 2,4,6-trioxide, N,N-diethylethanamine, ethyl acetate, oxidane to produce ethyl 2-[[2-[3-[tert-butyl(dimethyl)silyl]oxyphenyl]acetyl]amino]-4-methyl-1,3-thiazole-5-carboxylate."
0,1,"1-[2-(1,3-dioxoisoindol-2-yl)acetyl]-3,4-dihydro-2H-quinoline-2-carboxylic acid reacts in the presence of ethanol, methanol, oxidane to produce 1-(2-aminoacetyl)-3,4-dihydro-2H-quinoline-2-carboxylic acid."
1,0,"ethyl 4-[4-bromo-5-(3,5-dichlorophenyl)-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]-2-methylbenzoate reacts in the presence of methanol, oxidane, lithium(1+), hydroxide to produce 4-[4-bromo-5-(3,5-dichlorophenyl)-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]-2-methylbenzoic acid."
0,1,"ethyl 4-(2-bromo-4-fluorophenyl)-6-(bromomethyl)-2-(1H-1,2,4-triazol-5-yl)-1,4-dihydropyrimidine-5-carboxylate and [(2R)-morpholin-2-yl]methanol react together in the presence of chlorane to produce ethyl 4-(2-bromo-4-fluorophenyl)-6-[[(2R)-2-(hydroxymethyl)morpholin-4-yl]methyl]-2-(1H-1,2,4-triazol-5-yl)-1,4-dihydropyrimidine-5-carboxylate."
0,1,"1-(2-tert-butylphenyl)piperazine and (2S)-5-oxo-1-phenylpyrrolidine-2-carboxylic acid react together in the presence of oxolane, N,N-dimethylformamide, chlorane, oxalyl dichloride to produce 5-[4-(2-tert-butylphenyl)piperazine-1-carbonyl]-1-phenylpyrrolidin-2-one."
1,0,"benzyl N-[2-[(1-amino-4-methyl-1-oxopentan-2-yl)carbamoyl]cyclohexyl]carbamate reacts in the presence of chlorane, (2,2,2-trifluoroacetyl) 2,2,2-trifluoroacetate, pyridine to produce benzyl N-[2-[(1-cyano-3-methylbutyl)carbamoyl]cyclohexyl]carbamate."
0,1,"1,3-benzothiazol-2-amine and di(imidazol-1-yl)methanethione react together in the presence of acetonitrile to produce N-(1,3-benzothiazol-2-yl)imidazole-1-carbothioamide."
1,0,"3-oxa-8-azabicyclo[3.2.1]octane and 2,4,6-trichloropyrimidine react together in the presence of N,N-diethylethanamine, ethanol, chlorane to produce 8-(2,6-dichloropyrimidin-4-yl)-3-oxa-8-azabicyclo[3.2.1]octane."
0,1,"2-(6-fluoro-1-methylindazol-3-yl)-N-[(1R)-1-[4-(trifluoromethyl)pyridin-2-yl]ethyl]-5-(2-trimethylsilylethoxymethyl)pyrrolo[2,3-b]pyrazine-7-carboxamide reacts in the presence of dichloromethane, ethane-1,2-diamine, 2,2,2-trifluoroacetic acid to produce 2-(6-fluoro-1-methylindazol-3-yl)-N-[(1R)-1-[4-(trifluoromethyl)pyridin-2-yl]ethyl]-5H-pyrrolo[2,3-b]pyrazine-7-carboxamide."
0,1,"N',N'-dimethylpropane-1,3-diamine and 4-(4-cyclopropyl-3-oxo-1H-pyrazolo[4,3-c]quinolin-2-yl)benzoyl chloride react together in the presence of oxolane to produce 4-(4-cyclopropyl-3-oxo-1H-pyrazolo[4,3-c]quinolin-2-yl)-N-[3-(dimethylamino)propyl]benzamide."
1,0,"1-(chloromethyl)-4-nitrobenzene and iodide react together in the presence of propan-2-one, oxidane, sodium(1+) to produce 1-(iodomethyl)-4-nitrobenzene."
