reaction,High-yielding,Not high-yielding
CN(C)C(On1nnc2cccnc21)=[N+](C)C.CNc1ccnc2ccccc12.O=C(O)C1=Cc2cc(OC(F)(F)F)ccc2OC1>CC#N.CCN(C(C)C)C(C)C.CN(C)c1ccncc1.Cl.F[P-](F)(F)(F)(F)F.O=C([O-])O.[Na+]>O=C(NCc1ccnc2ccccc12)C1=Cc2cc(OC(F)(F)F)ccc2OC1,0,1
Fc1ccccn1.O=Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1>C1CCOC1.CC(C)NC(C)C.[Li]CCCC>OC(c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)c1cccnc1F,0,1
CC(C)[C@H](COCc1cccnc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1>O=CO>CC(C)[C@@H](N)COCc1cccnc1,1,0
CC1(CC2(c3ccccc3)CCN(C(C)(C)c3cn(-c4ccccc4)nn3)C(=O)O2)CO1>C1CCOC1.O.O=S([O-])([O-])=S.OO.[Na+]>CC(C)(O)CC1(c2ccccc2)CCN(C(C)(C)c2cn(-c3ccccc3)nn2)C(=O)O1,0,1
CCCCCCCOc1ccc(C(=O)Oc2ccc(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(NC(=O)Cc4ccc(OC)cc4)cc3)cc2)cc1>O=C(O)C(F)(F)F>CCCCCCCOc1ccc(C(=O)Oc2ccc(CN(CC(=O)O)C(=O)c3ccc(NC(=O)Cc4ccc(OC)cc4)cc3)cc2)cc1,0,1
C=CCCBr.c1ccc(N2CCNCC2)cc1>CCOCC>C=CCCN1CCN(c2ccccc2)CC1,1,0
CC(C(N)=O)N1CCNCC1.COc1cc(OC)c2c(=O)[nH]c(-c3cccc(F)n3)nc2c1>CN(C)C(=N)N(C)C.CS(C)=O.Cl.ClCCl>COc1cc(OC)c2c(=O)[nH]c(-c3cccc(N4CCN(C(C)C(N)=O)CC4)n3)nc2c1,0,1
CC(C)COC(=O)Cl.CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1>CCOCC.ClCCl>CC(C)COC(=O)Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(S(C)(=O)=O)cc3)ccc2c1,1,0
Nc1cnc(Cl)cc1N.O=C(O)c1n[nH]cc1NCc1c(F)cccc1F.On1nnc2ccccc21>CCN(CC)CC.CN(C)C=O.ClCCCl>O=C(Nc1c[nH]nc1-c1nc2cnc(Cl)cc2[nH]1)c1c(F)cccc1F,0,1
CCCCNC(=O)N1C[C@H](SC(c2ccccc2)(c2ccccc2)c2ccccc2)C[C@H]1CN=[N+]=[N-]>CCO.[BH4-].[Cl-].[NH4+].[Na+]>CCCCNC(=O)N1C[C@H](SC(c2ccccc2)(c2ccccc2)c2ccccc2)C[C@H]1CN,1,0
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1csc(-c2ccncc2)n1>C1COCCO1.Cl.O.O=C([O-])O.[Na+]>N[C@@H](Cc1ccccc1)C(=O)Nc1csc(-c2ccncc2)n1,1,0
COc1ccc(C(=O)N(C)OC)c(OC)c1.O=C1CCC(=O)N1Cl>CC#N>COc1cc(OC)c(C(=O)N(C)OC)cc1Cl,0,1
CC#CCOc1ccc(C[C@H](NC(=O)[C@@H](/C=C/CCCCCCC(=O)CCCCCCC)[C@@](O)(CC(=O)[O-])C(=O)OC(C)(C)C)C(=O)OC)cc1.On1nnc2ccccc21>C1CCOC1.CC#CCOc1ccc(C[C@H](NC(=O)[C@@H](/C=C/CCCCCCC(=O)CCCCCCC)[C@@](O)(CC(N)=O)C(=O)OC(C)(C)C)C(=O)OC)cc1.CCN(C(C)C)C(C)C.CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.O=C(OC(=O)C(F)(F)F)C(F)(F)F.O=CO.[Cl-].[NH4+]>CC#CCOc1ccc(C[C@H](NC(=O)[C@@H](/C=C/CCCCCCC(=O)CCCCCCC)[C@@](O)(CCOC)C(=O)O)C(=O)O)cc1,0,1
CC(C)(C)OC(=O)N1CCN(Cc2c(OCc3ccccc3)ccc3c2O/C(=C\c2c[nH]c4ccccc24)C3=O)CC1>C1COCCO1.Cl.ClCCl>O=C1/C(=C/c2c[nH]c3ccccc23)Oc2c1ccc(OCc1ccccc1)c2CN1CCNCC1,1,0
CS(=O)(=O)c1ccc(NN)cc1.O=C1Nc2ccc(Br)cc2C1=O>>CS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(Br)cc32)cc1,1,0
O=C(CBr)c1ccc(Cl)cc1.O=S(=O)(F)Cc1ccc(Cl)cc1>C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+]>O=C(/C=C/c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,1
Cc1ccc(C#N)c(=O)n1-c1ccc(F)cc1.O=C1CCC(=O)N1Br>C1CCOC1.CC#N.CCOC(C)=O.O=C([O-])O.[Na+]>Cc1c(Br)cc(C#N)c(=O)n1-c1ccc(F)cc1,1,0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CCN(CC)CC.COC[C@@H]1C[C@H](C#N)CN1C(=O)OCc1ccccc1.COC[C@@H]1C[C@H](C(=O)O)CN1C(=O)OC(C)(C)C.O=C([O-])O>Cl.[Na+]>O=C(O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1,1,0
ClCCCCSc1ccncc1.O=c1c2ccccc2[nH]c(=S)n1CCCCSc1ccncc1>CN(C)C=O.O>O=c1c2ccccc2n(CCCCSc2ccncc2)c(=S)n1CCCCSc1ccncc1,1,0
CCCC[N+](CCCC)(CCCC)CCCC.c1cnc2[nH]ccc2c1>C=O.CC(C)O.CI.CNC.C[Si](C)(C)C#N.Cl.[F-]>N#CCc1c[nH]c2ncccc12,0,1
CCC1CC(O)(c2cccc(Sc3ccc(C(C)(C)C)cc3)c2)CCO1.CI>>CCC1CC(OC)(c2cccc(Sc3ccc(C(C)(C)C)cc3)c2)CCO1,0,1
CCCC[C@](N)(CC)CO>CC(Cl)Cl.O=S(=O)(O)Cl>CCCC[C@]1(CC)CN1,1,0
COc1ccccc1C1C(C(=O)C2(C)COC(C)(C)OC2)=C(O)C(=O)N1c1ccc(-c2ccsc2)cc1.NN>CC(=O)O.CO.Cl.O>COc1ccccc1C1c2c(C(C)(CO)CO)n[nH]c2C(=O)N1c1ccc(-c2ccsc2)cc1,1,0
Cc1ccc(SCCl)cc1.[F-]>CC#N.[Cs+]>Cc1ccc(SCF)cc1,0,1
BrBr.CC(=O)c1cnc2c(c1)CC(=O)N2C>CC(=O)O>CN1C(=O)Cc2cc(C(=O)CBr)cnc21,0,1
COC(=O)c1cccc(N)c1NCC(OC)OC.O=Cc1ccc(F)cc1>CN(C)C=O.O.O=S([O-])OO.[K+]>COC(=O)c1cccc2nc(-c3ccc(F)cc3)n(CC(OC)OC)c12,1,0
NNc1ccc(C(=O)O)cc1.O=c1nc(-c2ccccc2O)oc2ccccc12>CCC(=O)O.CN(C)C=O>O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1,0
COc1cc(CCN2CCCCC2)c(F)cc1N.COc1ccc(-c2nc3ccccn3c2-c2ccnc(Cl)n2)cc1C(=O)Nc1c(F)cccc1F>CC(C)O.Cc1ccc(S(=O)(=O)O)cc1.ClCCl>COc1cc(CCN2CCCCC2)c(F)cc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,0,1
BrCc1ccccc1.CCCOC1CCC(=O)N1>C1CCOC1.[K+].[OH-]>CCCOC1CCC(=O)N1Cc1ccccc1,0,1
CCOC(=O)CC1OB(O)c2cc(Oc3cnccn3)cc(O)c21>CCO.Cl.O.[Li+].[OH-]>O=C(O)CC1OB(O)c2cc(Oc3cnccn3)cc(O)c21,0,1
CC(C)(C)OC(=O)N1CCC(N)CC1.Cc1ncc(C=O)cc1Cl>CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCCl.O=C([O-])O.O=S(=O)([O-])[O-].[Na+]>Cc1ncc(CNC2CCN(C(=O)OC(C)(C)C)CC2)cc1Cl,1,0
CS(=O)(=O)Cl.Nc1cccc(Br)n1>ClCCl.c1ccncc1>CS(=O)(=O)Nc1cccc(Br)n1,1,0
CCOC(=O)C(F)(F)C(O)C1CCN(C(=O)OC(C)(C)C)CC1>CC(C)(C#N)N=NC(C)(C)C#N.CN(C)c1ccncc1.COC(=O)C(=O)Cl.C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C.Cc1ccccc1.ClCCl>CCOC(=O)C(F)(F)CC1CCN(C(=O)OC(C)(C)C)CC1,0,1
COCc1nc2c3cc(Br)ccc3[nH]c(=O)n2n1>O=c1[nH]c2ccc(Cl)cc2c2nc(C3CC3)nn12>COCc1n[nH]c(-c2cc(Br)ccc2N)n1,1,0
C1CCNC1.O=C(O)c1ccc2c(-c3ccnc(NC4CCCC4)n3)c(-c3ccc(F)cc3)nn2c1NC1CCCC1>Cl.ClCCl.O=S(Cl)Cl>O=C(c1ccc2c(-c3ccnc(NC4CCCC4)n3)c(-c3ccc(F)cc3)nn2c1NC1CCCC1)N1CCCC1,0,1
ClCCN1CCCC1.Ic1ccc2[nH]ncc2c1>CS(C)=O.Cl.O.O=C([O-])[O-].[Cs+]>Ic1ccc2c(cnn2CCN2CCCC2)c1,0,1
CCc1cccc([N+](=O)[O-])c1Br>CCO.Cl>CCc1cccc(N)c1Br,1,0
CC(C(=O)OC(C)(C)C)n1ccc([N+](=O)[O-])n1>CO.[H][H].[Pd]>CC(C(=O)OC(C)(C)C)n1ccc(N)n1,1,0
COC(=O)c1cc(OC)c(OC)c(OC)c1-c1c(C(=O)OC)cc(OC)c2c1OCO2>C1COCCO1.Cl.[K+].[OH-]>COc1cc(C(=O)O)c(-c2c(C(=O)O)cc(OC)c3c2OCO3)c(OC)c1OC,1,0
FC(F)(F)c1cc(Cn2nnc(-c3onc4cnnc(-c5ccccc5Cl)c34)c2-c2ccncc2)cc(C(F)(F)F)c1>CC#N.O.[C-]#[O+].[Mo]>Nc1cnnc(-c2ccccc2Cl)c1C(=O)c1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccncc1,0,1
CN(C)C(=O)CCl.COC(=O)c1ccc(O)cc1>CN(C)C=O.O=C([O-])[O-].[K+]>COC(=O)c1ccc(OCC(=O)N(C)C)cc1,0,1
NO.O=C1c2sccc2-n2cccc21>Cl.c1ccncc1>ON=C1c2sccc2-n2cccc21,1,0
Nc1ccc(C(F)(F)F)c(Cl)c1.O=C(Cl)Cl.[NH3+]Cc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O>CC#N.CCN(C(C)C)C(C)C.CS(=O)(=O)[O-].c1ccncc1>O=C1CCC(N2Cc3cc(CNC(=O)Nc4ccc(C(F)(F)F)c(Cl)c4)ccc3C2=O)C(=O)N1,0,1
CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COC(=O)c1cc2ccccc2cc1I>CC(=O)[O-].CS(C)=O.Cl[Pd]Cl.[Fe+2].[K+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>COC(=O)c1cc2ccccc2cc1B1OC(C)(C)C(C)(C)O1,0,1
CC(=O)OC(C)=O.Cc1c[nH]cn1>>CC(=O)n1cnc(C)c1,0,1
COc1ccc2cc(C(=O)C(C)Br)ccc2c1.c1ccc(CN2CCNCC2)cc1>NO.[BH4-].[Na+]>COc1ccc2cc(C(=O)C(C)N3CCN(Cc4ccccc4)CC3)ccc2c1,0,1
CN(Cc1c(Br)cccc1[N+](=O)[O-])C(=O)OC(C)(C)C>C1CCOC1.CO.NN>CN(Cc1c(N)cccc1Br)C(=O)OC(C)(C)C,0,1
NC(=NO)c1c(Cl)cccc1Cl.O=C(O)C1CCN(C(=O)N2CCCc3ccccc32)CC1>CCN(C(C)C)C(C)C.CN(C)C(On1nnc2ccccc21)=[N+](C)C.CN(C)C=O.F[B-](F)(F)F.O.On1nnc2ccccc21>O=C(N1CCC(c2nc(-c3c(Cl)cccc3Cl)no2)CC1)N1CCCc2ccccc21,0,1
O=C(NCCC1CC1)c1ccc(Cl)nn1.O=C(c1ccc(F)cc1)C1CCNCC1>CC#N.CCN(CC)CC>O=C(NCCC1CC1)c1ccc(N2CCC(C(=O)c3ccc(F)cc3)CC2)nn1,1,0
CCN1CCN(C(=O)CCl)CC1.COc1ccc(C2CCc3cc(OC(=O)C(C)(C)C)ccc3C2)c(NCCCC(=O)c2ccc(O)cc2)c1>>CCN1CCN(CCOc2ccc(CCCCNc3cc(OC)ccc3C3CCc4cc(O)ccc4C3)cc2)CC1,0,1
C#CCCCCOC(C)=O.CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4cccc5c(Br)ccc(c6ccc(c1=O)c2c36)c54>C1CCNCC1.C1CCOC1.Cl.[Cu]I.c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>CC(=O)OCCCCC#Cc1ccc2c3ccc4c(=O)n(-c5c(C(C)C)cccc5C(C)C)c(=O)c5ccc(c6cccc1c62)c3c54,1,0
CN=C=O.NC1=NC(=CCC(=O)Nc2ccc(Cl)cc2)CS1>Br.O.c1ccncc1>CNC(=O)NC1=NC(=CCC(=O)Nc2ccc(Cl)cc2)CS1,0,1
CC(C)(C)OC(=O)N1CCC(O)(c2cc(Cl)cc(Cl)c2)C1.CCN(CC)S(F)(F)F>ClCCl.O=C([O-])[O-].[Na+]>CC(C)(C)OC(=O)N1CCC(F)(c2cc(Cl)cc(Cl)c2)C1,0,1
CCCCCC.CN(C)C=O.COc1cccc2[nH]c(C)cc12>BrCc1ccccc1.O.[H-].[Na+]>COc1cccc2c1cc(C)n2Cc1ccccc1,1,0
CC1(C)OC[C@@](C)(C=NO)O1.O=C1CCC(=O)N1Cl>CN(C)C=O.O>CC1(C)OC[C@@](C)(C(Cl)=NO)O1,1,0
CC(C)(C)OC(=O)N1CCN(CC(=O)N2CCC3(CC2)Cn2cc([N+](=O)[O-])nc2O3)CC1.Nc1ccc(C(F)(F)F)cc1>CN(C)C=O.ClCCl.O.O=C(O)C(F)(F)F.O=C(n1ccnc1)n1ccnc1>O=C(CN1CCN(C(=O)Nc2ccc(C(F)(F)F)cc2)CC1)N1CCC2(CC1)Cn1cc([N+](=O)[O-])nc1O2,0,1
CN(C)C(On1nnc2ccccc21)=[N+](C)C.Cn1nc(-c2cnc3c(n2)c(C(=O)O)cn3COCC[Si](C)(C)C)c2ccc(Cl)cc21>CC#N.CC(C)N.CCN(C(C)C)C(C)C.CCOC(C)=O.F[B-](F)(F)F.O>CC(C)NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(-c3nn(C)c4cc(Cl)ccc34)nc12,0,1
CC(C)(C)[Si](C)(C)Oc1cccc(CC(=O)O)c1.CCOC(=O)c1sc(N)nc1C>C1CCOC1.CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1.CCN(CC)CC.CCOC(C)=O.O>CCOC(=O)c1sc(NC(=O)Cc2cccc(O[Si](C)(C)C(C)(C)C)c2)nc1C,0,1
O=C(O)C1CCc2ccccc2N1C(=O)CN1C(=O)c2ccccc2C1=O>CCO.CO.O>NCC(=O)N1c2ccccc2CCC1C(=O)O,0,1
CCOC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(Cl)c3)(C(F)(F)F)C2Br)cc1C>CO.O.[Li+].[OH-]>Cc1cc(C2=NOC(c3cc(Cl)cc(Cl)c3)(C(F)(F)F)C2Br)ccc1C(=O)O,1,0
CCOC(=O)C1=C(CBr)NC(c2nc[nH]n2)=NC1c1ccc(F)cc1Br.OC[C@H]1CNCCO1>Cl>CCOC(=O)C1=C(CN2CCO[C@@H](CO)C2)NC(c2nc[nH]n2)=NC1c1ccc(F)cc1Br,0,1
CC(C)(C)c1ccccc1N1CCNCC1.O=C(O)[C@@H]1CCC(=O)N1c1ccccc1>C1CCOC1.CN(C)C=O.Cl.O=C(Cl)C(=O)Cl>CC(C)(C)c1ccccc1N1CCN(C(=O)C2CCC(=O)N2c2ccccc2)CC1,0,1
CC(C)CC(NC(=O)C1CCCCC1NC(=O)OCc1ccccc1)C(N)=O>Cl.O=C(OC(=O)C(F)(F)F)C(F)(F)F.c1ccncc1>CC(C)CC(C#N)NC(=O)C1CCCCC1NC(=O)OCc1ccccc1,1,0
Nc1nc2ccccc2s1.S=C(n1ccnc1)n1ccnc1>CC#N>S=C(Nc1nc2ccccc2s1)n1ccnc1,0,1
C1CC2COCC1N2.Clc1cc(Cl)nc(Cl)n1>CCN(CC)CC.CCO.Cl>Clc1cc(N2C3CCC2COC3)nc(Cl)n1,1,0
C[C@@H](NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(-c3nn(C)c4cc(F)ccc34)nc12)c1cc(C(F)(F)F)ccn1>ClCCl.NCCN.O=C(O)C(F)(F)F>C[C@@H](NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(F)ccc34)nc12)c1cc(C(F)(F)F)ccn1,0,1
CN(C)CCCN.O=C(Cl)c1ccc(-n2nc3c4ccccc4[nH]c(C4CC4)c-3c2=O)cc1>C1CCOC1>CN(C)CCCNC(=O)c1ccc(-n2nc3c4ccccc4[nH]c(C4CC4)c-3c2=O)cc1,0,1
O=[N+]([O-])c1ccc(CCl)cc1.[I-]>CC(C)=O.O.[Na+]>O=[N+]([O-])c1ccc(CI)cc1,1,0
CS(=O)(=O)Cn1ccc(N)n1.Cn1ccc(NC(=O)[C@H](CC2CCCC2)c2ccc(S(C)(=O)=O)c(Cl)c2)n1>Cc1cccc(C)n1.ClCCl.O=C(Cl)C(=O)Cl>CS(=O)(=O)Cn1ccc(NC(=O)[C@H](CC2CCCC2)c2ccc(S(C)(=O)=O)c(Cl)c2)n1,1,0
COC(=O)[C@H](CO)NC(=O)Cc1cc(F)cc(F)c1>C1CCOC1.Cl.O.[Cl-].[Li+].[Na+].[OH-]>O=C(Cc1cc(F)cc(F)c1)N[C@@H](CO)C(=O)O,0,1
Cn1cc(-c2ccc3c(c2)[C@H]2CCCN[C@H]2C3)cn1.O=C(O)c1ccc2[nH]cnc2c1>>Cn1cc(-c2ccc3c(c2)[C@H]2CCCN(C(=O)c4ccc5[nH]cnc5c4)[C@H]2C3)cn1,1,0
CCOC(=O)C1=C(c2ccc3c(c2)OCO3)c2ccccc2C1(O)c1ccc2c(c1)OCO2>CCOCC.CC[SiH](CC)CC.ClCCl.FB(F)F.O=C([O-])C1=Cc2ccccc2C1c1ccc2c(c1)OCO2>O=C(O)C1C(c2ccc3c(c2)OCO3)c2ccccc2C1c1ccc2c(c1)OCO2,1,0
CCOC(=O)c1c[nH]nc1C(F)(F)F.ClC(c1ccccc1)(c1ccccc1)c1ccccc1>CCN(CC)CC.CN(C)C=O>CCOC(=O)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)nc1C(F)(F)F,1,0
CC(C)[Si](Cl)(C(C)C)C(C)C.CC(C)c1[nH][nH]c(=O)c1Cc1ccc(I)cc1>CN(C)C=O.O.c1c[nH]cn1>CC(C)c1[nH]nc(O[Si](C(C)C)(C(C)C)C(C)C)c1Cc1ccc(I)cc1,1,0
ClCC#CCCl.O=[N+]([O-])c1cc[nH]n1>CN(C)C=O.[H-].[Na+]>O=[N+]([O-])c1ccn(CC#CCCl)n1,0,1
CC(C)(C)[Si](C)(C)Oc1ccc2cc(Br)ccc2c1.CC(C)CC(=O)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1>>CC(C)CC(O)(c1ccc2cc(O[Si](C)(C)C(C)(C)C)ccc2c1)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1,1,0
CNC(N)=O.COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)cc1>CO.C[O-].[Mg+2]>CNC(=O)NC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)cc1,0,1
CC(=N)NO.O=C(O)c1ccccc1C1CCN(CCc2ccccc2N2CCCCC2=O)C1>CN(C)C=O.Cl.ClCCl.O>Cc1noc(-c2ccccc2C2CCN(CCc3ccccc3N3CCCCC3=O)C2)n1,0,1
COCCBr.Nc1ccc2c(c1)C1CCC(C2)N1>CC(C)=O.O=C([O-])[O-].[K+]>COCCN1C2CCC1c1cc(N)ccc1C2,0,1
CC1(C)OB(c2ccc(N)cc2)OC1(C)C.O=C1NCc2c(Br)cccc21>COCCOC.O.O=C([O-])[O-].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>Nc1ccc(-c2cccc3c2CNC3=O)cc1,0,1
CC(C)(C)OC(=O)NC1=N[C@](C)(c2ccc(F)c(Br)c2)CCS1.CCCC[Sn](CCCC)(CCCC)c1cnccn1>C1COCCO1.c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>CC(C)(C)OC(=O)NC1=N[C@](C)(c2ccc(F)c(-c3cnccn3)c2)CCS1,0,1
O=C(Nc1nc2ccccc2s1)c1ccc(N2CCNCC2)cc1.O=C1CC2(CCCC2)C(=O)O1>CCN(CC)CC.CN(C)C=O.O=C(O)C(F)(F)F>O=C(Nc1nc2ccccc2s1)c1ccc(N2CCN(C(=O)CC3(C(=O)O)CCCC3)CC2)cc1,0,1
O=c1[nH]c(CCl)nc2c1COCC2.[N-]=[N+]=[N-]>CC(C)=O.[Na+]>[N-]=[N+]=NCc1nc2c(c(=O)[nH]1)COCC2,1,0
CS(=O)(=NC(=O)OCc1ccccc1)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1>O.O=C([O-])[O-].O=S(=O)(O)O.[K+]>CS(=N)(=O)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,1,0
CCCCC1(O)CC(C(=O)OC)N(C(=O)OC(C)(C)C)C1.CCN(CC)S(F)(F)F>ClCCl>CCCCC1(F)CC(C(=O)OC)N(C(=O)OC(C)(C)C)C1,0,1
